lokasi;LT;LB;KT;KM;listrik;garasi_carport;harga
Kota Tangerang;128;90;2;1;1300;Ada;1650000000
Kota Tangerang;385;380;5;5;4400;Ada;5900000000
Kota Tangerang;184;125;3;2;3500;Tidak ada;1950000000
Kota Tangerang;105;105;2;2;2200;Ada;2300000000
Kota Tangerang;320;225;3;3;4400;Ada;5300000000
Kota Tangerang;385;380;5;5;4400;Ada;5900000000
Kota Tangerang;625;500;5;3;5500;Ada;12500000000
Kota Tangerang;300;255;5;5;4400;Ada;6500000000
Kota Tangerang;162;153;3;3;3500;Ada;2410000000
Kota Tangerang;90;100;3;3;2200;Tidak ada;1600000000
Kota Tangerang;96;110;3;3;4400;Ada;2600000000
Kota Tangerang;60;70;3;3;2200;Ada;1350000000
Kota Tangerang;250;380;6;4;5500;Ada;5050000000
Kota Tangerang;385;380;5;5;4400;Tidak ada;5900000000
Kota Tangerang;180;220;3;3;3500;Ada;3450000000
Kota Tangerang;78;125;4;2;1300;Ada;950000000
Kota Tangerang;160;110;3;1;2200;Tidak ada;2440000000
Kota Tangerang;96;75;3;2;2200;Tidak ada;600000000
Kota Tangerang;98;70;2;1;2200;Tidak ada;1140000000
Kota Tangerang;241;250;4;3;3500;Tidak ada;3850000000
Kota Tangerang;234;300;5;5;4400;Ada;3900000000
Kota Tangerang;77;70;3;2;2200;Ada;1600000000
Kota Tangerang;276;441;4;4;4400;Tidak ada;14000000000
Kota Tangerang;276;441;5;5;3500;Tidak ada;12600000000
Kota Tangerang;150;200;3;2;5500;Tidak ada;4100000000
Kota Tangerang;93;93;2;1;1300;Ada;575000000
Kota Tangerang;72;70;3;2;2200;Ada;756000000
Kota Tangerang;315;250;3;3;5500;Ada;3000000000
Kota Tangerang;202;136;3;2;2200;Ada;2900000000
Kota Tangerang;48;62;2;2;2200;Ada;972000000
Kota Tangerang;99;90;3;3;2200;Tidak ada;2700000000
Kota Tangerang;170;150;4;2;2200;Ada;1500000000
Kota Tangerang;230;370;4;4;3500;Tidak ada;11600000000
Kota Tangerang;90;60;2;1;2200;Ada;750000000
Kota Tangerang;96;82;2;2;4400;Ada;2900000000
Kota Tangerang;84;66;2;2;4400;Tidak ada;1450000000
Kota Tangerang;94;52;3;2;2200;Tidak ada;1590000000
Kota Tangerang;78;40;2;1;2200;Ada;780000000
Kota Tangerang;105;50;2;2;2200;Ada;700000000
Kota Tangerang;72;27;2;1;1300;Ada;250000000
Kota Tangerang;144;117;3;3;2200;Ada;1950000000
Kota Tangerang;180;190;5;3;2200;Ada;2800000000
Kota Tangerang;136;80;2;1;2200;Tidak ada;1950000000
Kota Tangerang;50;29;2;1;2200;Tidak ada;396000000
Kota Tangerang;77;89;3;3;2200;Tidak ada;2280000000
Kota Tangerang;300;400;4;4;4400;Ada;4700000000
Kota Tangerang;180;250;5;4;3500;Ada;3300000000
Kota Tangerang;240;350;4;4;4400;Tidak ada;5200000000
Kota Tangerang;113;142;4;5;3500;Tidak ada;1500000000
Kota Tangerang;240;150;3;2;2200;Ada;3000000000
Kota Tangerang;300;200;3;2;4400;Ada;3750000000
Kota Tangerang;240;200;5;4;4400;Ada;3500000000
Kota Tangerang;375;450;6;6;2200;Ada;6500000000
Kota Tangerang;240;155;3;3;4400;Ada;3400000000
Kota Tangerang;373;200;3;3;3500;Ada;4500000000
Kota Tangerang;365;300;5;4;4400;Ada;4700000000
Kota Tangerang;308;492;4;4;2200;Ada;7700000000
Kota Tangerang;96;90;3;3;2200;Tidak ada;2300000000
Kota Tangerang;288;200;3;2;2200;Tidak ada;2000000000
Kota Tangerang;144;130;4;2;2200;Ada;1250000000
Kota Tangerang;300;375;4;2;2200;Ada;5500000000
Kota Tangerang;155;100;3;2;2200;Ada;1000000000
Kota Tangerang;112;92;3;2;4400;Ada;2150000000
Kota Tangerang;153;150;3;3;2200;Ada;2300000000
Kota Tangerang;66;37;2;1;1300;Ada;221000000
Kota Tangerang;375;350;5;5;5500;Ada;4500000000
Kota Tangerang;66;37;2;1;1300;Ada;221000000
Kota Tangerang;118;88;3;2;2200;Tidak ada;2300000000
Kota Tangerang;144;240;4;2;2200;Ada;2800000000
Kota Tangerang;300;148;4;3;2200;Ada;1900000000
Kota Tangerang;60;55;2;2;2200;Ada;711000000
Kota Tangerang;66;70;3;2;1300;Ada;850000000
Kota Tangerang;202;85;4;3;2200;Ada;1860000000
Kota Tangerang;108;130;3;3;2200;Ada;1800000000
Kota Tangerang;91;91;3;2;3500;Tidak ada;1000000000
Kabupaten Bogor;75;38;2;1;1300;Ada;692550000
Kabupaten Bogor;60;40;1;1;2200;Ada;811400000
Kabupaten Bogor;60;50;2;2;2200;Ada;900500000
Kabupaten Bogor;60;70;3;2;2200;Ada;1001900000
Kabupaten Bogor;90;60;3;2;2200;Ada;1200800000
Kabupaten Bogor;120;70;3;2;2200;Ada;1538200000
